Timestamp,Open,High,Low,Close,Volume
2024-03-22 09:40:00,585.34,585.34,585.34,585.34,1.701
2024-03-22 09:41:00,585.34,585.34,585.34,585.34,2.706
2024-03-22 09:42:00,584.39,584.51,583.98,583.98,3.1
2024-03-22 09:43:00,584.09,584.94,584.04,584.94,21.97
2024-03-22 09:44:00,584.62,584.62,583.58,583.58,25.765
2024-03-22 09:45:00,583.54,583.54,583.54,583.54,1.0
2024-03-22 09:46:00,583.09,583.09,581.72,581.72,3.854
2024-03-22 09:47:00,581.72,581.72,581.72,581.72,0.0
2024-03-22 09:48:00,581.84,581.84,581.84,581.84,9.234
2024-03-22 09:49:00,581.85,581.85,580.5,580.5,58.831
2024-03-22 09:50:00,581.82,581.82,581.82,581.82,0.028
2024-03-22 09:51:00,581.8,581.8,581.8,581.8,1.469
2024-03-22 09:52:00,581.85,581.89,581.45,581.68,53.449
2024-03-22 09:53:00,581.35,581.58,581.35,581.58,2.213
2024-03-22 09:54:00,581.0,581.02,580.63,580.63,57.993
2024-03-22 09:55:00,581.05,581.05,581.05,581.05,1.804
2024-03-22 09:56:00,581.31,581.35,581.31,581.35,0.061
2024-03-22 09:57:00,581.35,581.35,581.35,581.35,0.0
2024-03-22 09:58:00,581.55,581.85,581.55,581.85,19.662
2024-03-22 09:59:00,581.37,581.43,581.29,581.43,2.993
2024-03-22 10:00:00,582.2,582.2,582.2,582.2,0.028
2024-03-22 10:01:00,582.03,582.03,582.03,582.03,0.172
2024-03-22 10:02:00,582.59,582.59,582.18,582.18,17.24
2024-03-22 10:03:00,581.72,581.72,581.67,581.67,0.651
2024-03-22 10:04:00,581.08,581.08,580.93,580.93,18.279
2024-03-22 10:05:00,580.38,580.38,580.38,580.38,3.629
2024-03-22 10:06:00,579.65,579.65,579.18,579.18,1.506
2024-03-22 10:07:00,578.67,578.67,576.09,576.09,13.143
2024-03-22 10:08:00,575.59,576.96,575.55,576.94,25.448
2024-03-22 10:09:00,576.53,576.8,576.53,576.8,2.387
2024-03-22 10:10:00,576.93,576.93,576.93,576.93,0.828
2024-03-22 10:11:00,577.81,577.81,577.81,577.81,3.491
2024-03-22 10:12:00,577.81,577.81,577.81,577.81,0.0
2024-03-22 10:13:00,577.84,577.88,577.84,577.88,5.264
2024-03-22 10:14:00,577.62,577.68,577.49,577.49,12.305
2024-03-22 10:15:00,577.29,577.44,575.36,575.41,50.452
2024-03-22 10:16:00,575.49,577.44,575.49,576.66,41.099
2024-03-22 10:17:00,577.26,577.26,577.26,577.26,12.384
2024-03-22 10:18:00,577.45,577.45,577.01,577.02,8.603
2024-03-22 10:19:00,576.58,576.58,576.58,576.58,1.389
2024-03-22 10:20:00,575.98,575.98,575.98,575.98,0.033
2024-03-22 10:21:00,575.66,575.66,574.99,574.99,39.73
2024-03-22 10:22:00,576.32,576.32,576.32,576.32,0.029
2024-03-22 10:23:00,575.52,575.55,575.52,575.55,1.536
2024-03-22 10:24:00,575.23,575.29,575.19,575.19,0.129
2024-03-22 10:25:00,575.3,575.3,573.71,573.71,48.465
2024-03-22 10:26:00,573.03,573.13,571.64,572.05,112.534
2024-03-22 10:27:00,571.87,571.87,570.1,570.29,71.955
2024-03-22 10:28:00,570.84,570.84,570.84,570.84,1.871
2024-03-22 10:29:00,571.19,572.58,571.19,572.58,12.419
2024-03-22 10:30:00,571.96,572.24,571.96,572.24,5.527
2024-03-22 10:31:00,572.34,572.34,572.34,572.34,0.031
2024-03-22 10:32:00,570.61,571.01,570.61,571.01,8.386
2024-03-22 10:33:00,570.46,570.58,570.43,570.58,17.702
2024-03-22 10:34:00,570.0,570.0,570.0,570.0,0.672
2024-03-22 10:35:00,571.17,571.99,570.81,571.99,16.022
2024-03-22 10:36:00,574.03,574.03,573.74,573.81,7.168
2024-03-22 10:37:00,573.45,573.45,573.45,573.45,0.058
2024-03-22 10:38:00,573.12,573.37,573.12,573.37,25.445
2024-03-22 10:39:00,573.26,573.26,572.23,572.71,42.655
2024-03-22 10:40:00,572.76,572.82,572.76,572.82,27.925
2024-03-22 10:41:00,572.44,572.72,572.44,572.72,0.324
2024-03-22 10:42:00,572.58,572.83,572.58,572.75,24.429
2024-03-22 10:43:00,573.22,573.22,573.22,573.22,0.284
2024-03-22 10:44:00,573.26,573.26,572.42,572.42,4.239
2024-03-22 10:45:00,572.54,572.54,572.15,572.15,33.558
2024-03-22 10:46:00,572.73,572.73,571.9,571.9,10.666
2024-03-22 10:47:00,571.12,571.15,571.12,571.15,2.328
2024-03-22 10:48:00,571.24,571.24,571.24,571.24,0.031
2024-03-22 10:49:00,571.19,571.62,570.98,570.98,8.803
2024-03-22 10:50:00,570.56,570.56,570.56,570.56,0.039
2024-03-22 10:51:00,570.37,570.48,570.37,570.48,26.399
2024-03-22 10:52:00,570.6,570.77,570.6,570.77,2.711
2024-03-22 10:53:00,570.8,570.8,570.77,570.77,3.676
2024-03-22 10:54:00,570.21,570.21,569.66,569.66,46.465
2024-03-22 10:55:00,569.63,569.69,568.89,568.89,22.172
2024-03-22 10:56:00,568.5,568.68,568.5,568.68,4.17
2024-03-22 10:57:00,569.23,570.14,569.19,570.14,26.93
2024-03-22 10:58:00,569.94,569.94,569.94,569.94,1.523
2024-03-22 10:59:00,569.42,569.42,569.42,569.42,0.032
2024-03-22 11:00:00,569.34,570.94,569.34,570.85,3.333
2024-03-22 11:01:00,571.1,571.66,571.1,571.43,4.268
2024-03-22 11:02:00,570.61,570.61,569.21,569.3,13.383
2024-03-22 11:03:00,569.32,569.35,569.32,569.35,3.507
2024-03-22 11:04:00,569.57,570.05,569.57,570.04,13.314
2024-03-22 11:05:00,570.04,570.04,570.04,570.04,0.0
2024-03-22 11:06:00,571.22,572.38,571.22,572.06,3.199
2024-03-22 11:07:00,571.87,571.96,571.46,571.46,3.505
